,preprocess.time_lims,preprocess.bin_width,preprocess.data_transform,preprocess.preprocessor_name,model.states,model.fit,model.samples,model.model_template_name,model.inference_func_name,data.data_dir,data.basename,data.animal_name,data.session_date,data.taste_num,data.region_name,exp.exp_name,exp.model_id,exp.save_path,exp.fit_date
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200829_100535,AM26_4Tastes_200829_100535,AM26,100535,2,bla,pretty_bla_change,2389d818,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_2389d818,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200829_100535,AM26_4Tastes_200829_100535,AM26,100535,2,bla,pretty_bla_change,d2fcb537,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d2fcb537,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200829_100535,AM26_4Tastes_200829_100535,AM26,100535,3,bla,pretty_bla_change,e33ef614,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_e33ef614,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200829_100535,AM26_4Tastes_200829_100535,AM26,100535,3,bla,pretty_bla_change,d08b1e7e,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d08b1e7e,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200829_100535,AM26_4Tastes_200829_100535,AM26,100535,3,bla,pretty_bla_change,f24442f4,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_f24442f4,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,0,bla,pretty_bla_change,5b175165,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_5b175165,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,0,bla,pretty_bla_change,7a84497a,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_7a84497a,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,0,bla,pretty_bla_change,3e8d4a00,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_3e8d4a00,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,1,bla,pretty_bla_change,0c7ef5e5,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_0c7ef5e5,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,1,bla,pretty_bla_change,bdea0fba,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_bdea0fba,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,1,bla,pretty_bla_change,d748203f,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d748203f,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,2,bla,pretty_bla_change,e63382d1,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_e63382d1,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,2,bla,pretty_bla_change,f9ec01fd,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_f9ec01fd,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,2,bla,pretty_bla_change,d5233f95,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_d5233f95,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,2,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,3,bla,pretty_bla_change,88054886,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_88054886,12-07-21
0.0,"[2000, 4000]",50,,preprocess_single_taste,3,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM26/AM26_4Tastes_200827_094829,AM26_4Tastes_200827_094829,AM26,094829,3,bla,pretty_bla_change,c15402e3,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/pretty_bla_change/pretty_bla_change_c15402e3,12-07-21
